group_key,word,count,total_group_count,is_main,variation_rank
saying,saying,8,8,True,1
away,away,8,8,True,1
place,place,5,8,True,1
place,places,2,8,False,2
place,placed,1,8,False,3
comfortable,comfortable,7,8,True,1
comfortable,comfortable,1,8,False,2
poke,poke,4,8,True,1
poke,poke,2,8,False,2
poke,pokes,2,8,False,3
parents,parents,5,8,True,1
parents,parent,3,8,False,2
find,find,6,8,True,1
find,finds,2,8,False,2
cousin,cousin,7,8,True,1
cousin,cousing,1,8,False,2
break,break,8,8,True,1
father,father,8,8,True,1
got,got,8,8,True,1
project,project,5,7,True,1
project,projects,2,7,False,2
seated,seated,7,7,True,1
interested,interested,4,7,True,1
interested,interested,3,7,False,2
appointment,appointment,7,7,True,1
draw,draw,6,7,True,1
draw,drawn,1,7,False,2
film,film,6,7,True,1
film,filme,1,7,False,2
helping,helping,7,7,True,1
finished,finished,5,7,True,1
finished,finish,2,7,False,2
teacher,teacher,7,7,True,1
sleeping,sleeping,7,7,True,1
ready,ready,7,7,True,1
muscle,muscle,6,7,True,1
muscle,muscles,1,7,False,2
relative,relative,7,7,True,1
wanted,wanted,7,7,True,1
laughing,laughing,7,7,True,1
support,support,5,7,True,1
support,supports,2,7,False,2
store,store,4,7,True,1
store,store,3,7,False,2
cuddle,cuddle,4,7,True,1
cuddle,cuddled,2,7,False,2
cuddle,cuddles,1,7,False,3
examination,examination,7,7,True,1
desk,desk,7,7,True,1
favorite,favorite,4,7,True,1
favorite,favourite,3,7,False,2
venting,venting,5,7,True,1
venting,vented,2,7,False,2
professional,professional,7,7,True,1
rubbed,rubbed,7,7,True,1
hug,hug,4,7,True,1
hug,hug,3,7,False,2
normal,normal,5,7,True,1
normal,normally,2,7,False,2
anxiety,anxiety,7,7,True,1
not_attention,not_attention,7,7,True,1
pleasant,pleasant,5,7,True,1
pleasant,unpleasant,2,7,False,2
soft,soft,7,7,True,1
session,session,6,7,True,1
session,sessions,1,7,False,2
seat,seat,7,7,True,1
line,line,7,7,True,1
old,old,7,7,True,1
classmate,classmate,7,7,True,1
car,car,7,7,True,1
blood,blood,7,7,True,1
rest,rest,7,7,True,1
might,might,7,7,True,1
examine,examine,3,6,True,1
examine,examined,2,6,False,2
examine,examine,1,6,False,3
weird,weird,6,6,True,1
bothering,bothering,6,6,True,1
best,best,6,6,True,1
tough,tough,6,6,True,1
palm,palm,6,6,True,1
sense,sense,5,6,True,1
sense,senses,1,6,False,2
happy,happy,6,6,True,1
group,group,5,6,True,1
group,groups,1,6,False,2
pet,pet,3,6,True,1
pet,pets,3,6,False,2
lesson,lesson,5,6,True,1
lesson,lesion,1,6,False,2
let,let,5,6,True,1
let,letting,1,6,False,2
house,house,5,6,True,1
house,houses,1,6,False,2
stomach,stomach,6,6,True,1
lecture,lecture,6,6,True,1
laugh,laugh,4,6,True,1
laugh,laughs,2,6,False,2
sensation,sensation,4,6,True,1
sensation,sensations,1,6,False,2
sensation,sensational,1,6,False,3
story,story,6,6,True,1
treatment,treatment,6,6,True,1
nieces,nieces,6,6,True,1
school,school,6,6,True,1
series,series,6,6,True,1
health,health,6,6,True,1
describing,describing,6,6,True,1
stuff,stuff,5,6,True,1
stuff,tuff,1,6,False,2
anxious,anxious,6,6,True,1
headphones,headphones,6,6,True,1
recent,recent,4,6,True,1
recent,recently,2,6,False,2
index,index,6,6,True,1
somebody,somebody,6,6,True,1
office,office,6,6,True,1
job,job,6,6,True,1
end,end,6,6,True,1
results,results,4,6,True,1
results,result,1,6,False,2
results,resulted,1,6,False,3
discuss,discuss,5,6,True,1
discuss,discussed,1,6,False,2
hospital,hospital,6,6,True,1
lot,lot,6,6,True,1
smile,smile,3,6,True,1
smile,smiles,2,6,False,2
smile,smiling,1,6,False,3
new,new,6,6,True,1
belly,belly,6,6,True,1
tree,tree,6,6,True,1
seen,seen,6,6,True,1
lounge,lounge,6,6,True,1
park,park,6,6,True,1
contact,contact,6,6,True,1
started,started,6,6,True,1
think,think,4,6,True,1
think,thinks,2,6,False,2
aggressive,aggressive,6,6,True,1
excited,excited,5,6,True,1
excited,excidted,1,6,False,2
random,random,3,6,True,1
random,randomly,3,6,False,2
eating,eating,6,6,True,1
rough,rough,6,6,True,1
intercourse,intercourse,6,6,True,1
evening,evening,5,5,True,1
snacks,snacks,3,5,True,1
snacks,snack,2,5,False,2
explaining,explaining,5,5,True,1
reaches,reaches,4,5,True,1
reaches,reach,1,5,False,2
mum,mum,5,5,True,1
visit,visit,4,5,True,1
visit,visita,1,5,False,2
specific,specific,5,5,True,1
braccio,braccio,5,5,True,1
gesture,gesture,4,5,True,1
gesture,gestures,1,5,False,2
cafe,cafe,5,5,True,1
party,party,4,5,True,1
party,partying,1,5,False,2
not_know,not_know,5,5,True,1
client,client,4,5,True,1
client,clients,1,5,False,2
university,university,5,5,True,1
said,said,5,5,True,1
listen,listen,3,5,True,1
listen,listened,1,5,False,2
listen,listener,1,5,False,3
travelling,travelling,4,5,True,1
travelling,traveling,1,5,False,2
concern,concern,2,5,True,1
concern,concert,2,5,False,2
concern,concerns,1,5,False,3
express,express,2,5,True,1
express,expresses,1,5,False,2
express,expressed,1,5,False,3
express,expressing,1,5,False,4
acquaintance,acquaintance,3,5,True,1
acquaintance,acquaintace,1,5,False,2
acquaintance,acquintance,1,5,False,3
medical,medical,5,5,True,1
topics,topics,3,5,True,1
topics,topic,2,5,False,2
knee,knee,4,5,True,1
knee,knees,1,5,False,2
goodbye,goodbye,3,5,True,1
goodbye,goodybe,1,5,False,2
goodbye,goodbyes,1,5,False,3
tip,tip,4,5,True,1
tip,tipping,1,5,False,2
soothing,soothing,5,5,True,1
