Word,Total_Freq,var,video_1,video_2,video_3,video_4,video_5,video_6,video_7,video_8,video_9,video_10,video_11,video_12,video_13,video_14,video_15,video_16,video_17,video_18,video_19,video_20,video_21,video_22,video_23,video_24,videos_3_11_7_19_17_23_9_1_21_5_13_15,videos_16_22_14_12_4_2_10_8_24_6_18_20,videos_16_14_3_4_2_17_6_18_1_5_13_15,videos_22_11_12_7_19_10_8_24_23_9_20_21,videos_16_22_14_19_17_24_18_23_20_21_13_15,videos_3_11_12_7_4_2_10_8_6_9_1_5,videos_14_7_19_2_8_20_1_13,videos_16_22_3_4_10_9_21_15,videos_11_12_17_24_6_18_23_5
brother,30,Betabinom_Hellinger,0.3620033379239393,0.1914159491996962,0.3570457246832841,0.5145628154966203,0.3375776441442385,-0.1862545097611358,-0.223888462508276,-0.1604715262725103,0.1993750366026723,0.2212250506497986,0.4778675203106244,0.3720283286064577,-0.2153193937712805,0.1993750366026723,-0.1842685654380575,0.3163666417803922,0.4823887472916564,0.1857623007262665,-0.1727517053388754,-0.1984699074722539,0.1570909347116197,-0.1923037551722497,0.1973414161527563,0.596316878961676,-0.0476942928306121,0.0471345880986734,0.241281440875254,-0.2407368049992874,-0.3053857772578942,0.3012177853034906,-0.6775068276461025,0.076743170116064,0.6504977869430723
met,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.5797641506515843,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.5883852581231005,0.3550795308200997,0.3606785582094125,-0.356212572312355,-0.0032416169290096,0.0032341935333964,0.3582639143113786,-0.352890391130996,0.2206986507973782,-0.155786507719016,0.2176504234608533
collega,2,Betabinom_Hellinger,0.3617881320801241,0.5866346355719854,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.5919298141646059,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.388112094797987,0.3834437287809062,-0.0032416169290096,0.0032341935333964,-0.3914549210435961,0.3857856629796691,0.2206986507973782,-0.155786507719016,0.2176504234608533
getting,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.5883852581231005,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.5797641506515843,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,0.3606785582094125,-0.356212572312355,0.3699284164256083,-0.3690460183041019,-0.0203207508006679,0.020032527847675,0.2206986507973782,0.2189573334010836,-0.1570357064962235
marito,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.5843216939482204,0.3397788163044498,0.3567407154554617,0.5883852581231005,0.3550795308200997,-0.0167873807589287,0.0165901834713648,-0.3752356659788476,0.3743456456080136,0.3582639143113786,-0.352890391130996,0.2206986507973782,-0.155786507719016,0.2176504234608533
student,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.583747121332128,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.5741845118690133,0.3567407154554617,0.3600947646046201,0.3550795308200997,0.3606785582094125,-0.356212572312355,-0.0032416169290096,0.0032341935333964,-0.0203207508006679,0.020032527847675,-0.1541269416426447,0.2189573334010836,0.2176504234608533
oldest,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.5883852581231005,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.5949305843937487,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.0167873807589287,0.0165901834713648,-0.0032416169290096,0.0032341935333964,-0.3914549210435961,0.3857856629796691,-0.1541269416426447,0.5177267160649498,-0.1570357064962235
bestfriend,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.5797641506515843,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.5860541651757221,0.3600947646046201,0.3550795308200997,-0.0167873807589287,0.0165901834713648,-0.0032416169290096,0.0032341935333964,0.3582639143113786,-0.352890391130996,0.2206986507973782,0.2189573334010836,-0.1570357064962235
rodrigo,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.5878001620891786,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.5848977131997607,-0.388112094797987,0.3834437287809062,-0.0032416169290096,0.0032341935333964,-0.0203207508006679,0.020032527847675,-0.1541269416426447,-0.155786507719016,0.5168865097042301
experimentor,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.5889719366019159,0.5883852581231005,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.0167873807589287,0.0165901834713648,0.3699284164256083,-0.3690460183041019,0.3582639143113786,-0.352890391130996,0.2206986507973782,0.2189573334010836,-0.1570357064962235
health,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.5878001620891786,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.5919298141646059,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.388112094797987,0.3834437287809062,-0.0032416169290096,0.0032341935333964,-0.3914549210435961,0.3857856629796691,-0.1541269416426447,-0.155786507719016,0.5168865097042301
college,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.5961435833094625,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.5843216939482204,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.388112094797987,0.3834437287809062,-0.3752356659788476,0.3743456456080136,-0.0203207508006679,0.020032527847675,0.5188455942348859,-0.155786507719016,-0.1570357064962235
medico,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.5949305843937487,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.5889719366019159,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.388112094797987,0.3834437287809062,-0.0032416169290096,0.0032341935333964,-0.0203207508006679,0.020032527847675,0.2206986507973782,0.2189573334010836,-0.1570357064962235
imagine,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.5949305843937487,0.3534285866121355,0.3652088866184905,0.3477277007577249,0.5889719366019159,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.388112094797987,0.3834437287809062,-0.0032416169290096,0.0032341935333964,-0.0203207508006679,0.020032527847675,0.2206986507973782,0.2189573334010836,-0.1570357064962235
elder,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.5883852581231005,0.3669368400836937,0.3534285866121355,0.359252214896179,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.583747121332128,0.3652088866184905,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,0.3606785582094125,-0.356212572312355,-0.0032416169290096,0.0032341935333964,-0.3914549210435961,0.3857856629796691,-0.1541269416426447,0.2189573334010836,0.2176504234608533
care,2,Betabinom_Hellinger,0.3617881320801241,0.3575752217435916,0.3600947646046201,0.3669368400836937,0.3534285866121355,0.5878001620891786,0.3445216372763579,0.3713104157725992,0.3609400593359503,0.3695515829844765,0.3534285866121355,0.5919298141646059,0.3477277007577249,0.3609400593359503,0.3600947646046201,0.3461201281445933,0.3550795308200997,0.3550795308200997,0.3652088866184905,0.3542527931451879,0.3397788163044498,0.3567407154554617,0.3600947646046201,0.3550795308200997,-0.388112094797987,0.3834437287809062,-0.0032416169290096,0.0032341935333964,-0.3914549210435961,0.3857856629796691,-0.1541269416426447,-0.155786507719016,0.5168865097042301
